gid,stream_name,reservation,site_number,river_basin,river_code,drainage_area(mi2),survey_reach(ft),latitude,longitude,river_mile,date,scorers,comments,stream_channel_mod,substrate_metric_total,percent_best_types,substrate_metric_a,substrate1,substrate2,per_boulder_slabs,per_boulder_256mm,per_bedrock,per_cobble,per_gravel,per_sand,per_silt,per_leaf_woody,per_detritus,per_clay_hardpan,per_muck,per_artificial,substrate_metric_b,pool_metric_total,pool_depth_(cm),bankfull_metric_total,average_bankfull_(m),riparian_width_left,riparian_width_right,floodplain_quality_left,floodplain_quality_right,flow_regime,sinuosity,stream_gradient,qhei_done,designated_use,watershed,usgs_quad,soil_map_page,soil_map_order,county,city_twp_name,base_flow,date_last_rain,amt_last_rain,turbid,%_canopy_open,water_sample,temp,dissolved_oxygen_mgl,ph,conductivity,reach_representative,fish_observed,fish_sample_method,fish_time_collecting_minutes,frogs_tadpoles_observed,salamanders_observed,salamander_sample_method,salamander_time_collecting_minutes,aquatic_macros_observed,macro_time_collecting_minutes,macro_vouchers_collected,macro_comments,mountain_dusky_larvae,mountain_dusky_juveniles,mountain_dusky_adults,northern_dusky_larvae,northern_dusky_juveniles,northern_dusky_adults,two_lined_larvae,two_lined_juveniles,two_lined_adults,long_tailed_larvae,long_tailed_juveniles,long_tailed_adults,northern_red_larvae,northern_red_juveniles,northern_red_adults,mole_larvae,mole_juveniles,mole_adults,four_toed_larvae,four_toed_juveniles,four_toed_adults,red_backed_juveniles,red_backed_adults,slimy_juveniles,slimy_adults,blacknose_dace,bluegill_sunfish,bluntnose_minnow,brindled_madtom,brook_stickleback,brook_trout,brown_trout,central_mudminnow,central_stoneroller_minnow,common_shiner,creek_chub,eastern_sand_darter,fantail_darter,fathead_minnow,golden_shiner,goldfish,grass_pickerel,greenside_darter,green_sunfish,johnny_darter,largemouth_bass,longear_sunfish,longnose_dace,mottled_sculpin,northern_hog_sucker,pumpkinseed_sunfish,rainbow_darter,rainbow_trout,redbelly_dace,redside_dace,river_chub,silverjaw_minnow,smallmouth_bass,spotfin_shiner,stonecat_madtom,striped_shiner,trout_perch,warmouth_sunfish,white_sucker,yellow_bullhead_catfish,unidentified_fish_fry,sessile_animals,aquatic_worms,sow_bugs,scuds,water_mites,damselfly_nymphs,alderfly_larvae,other_beetles,crayfish,dragonfly_nymphs,riffle_beetles,other_flies,midges,snails,clams,fishfly_larvae,water_penny_beetles,cranefly_larvae,ameletidae,arthropleidae,baetidae,baetiscidae,caenidae,ephemerellidae,ephemeridae,heptageniidae,isonychiidae,leptohyphidae,leptophlebiidae,polymitarcyidae,potamanthidae,pseudironidae,siphlonuridae,capniidae,chloroperlidae,leuctridae,nemouridae,peltoperlidae,perlidae,perlodidae,pteronarcyidae,taeniopterygidae,brachycentridae,dipseuodopsidae,glossosomatidae,goeridae,helicopsychidae,hydropsychidae,hydroptilidae,lepidostomatidae,leptoceridae,limnephilidae,molannidae,odontoceridae,philopotamidae,phryganeidae,polycentropodidae,psychomiidae,rhyacophilidae,uenoidae,total_mayfly,total_stonefly,total_caddisfly,total_ept,hhei_score,hmfei_score,hmfei_narrative
"11",13-100-0.57II-2I,Rocky River,"20","13","100",,178,41.39744,-81.88744,0.57,2007/07/20,DG,,none/natural channel,"16",17,"9",artificial,sand,0,7,0,10,13,20,13,7,0,0,0,30,"7","15",10,"15",1.1,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2",moderate to severe,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Olmsted Township,yes,2007/07/19,0.39,no,15,no,,,,,yes,no,,0,no,yes,visual,,no,"0",,,,,,,,,,,"2",,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46","0",Class I/Ephemeral
"12",13-100-0.57II-1I,Rocky River,"19","13","100",0.0358,200,41.39716,-81.88709,0.57,2007/07/20,DG,,none/natural channel,"13",7,"6",silt,leaf pack/woody debris,0,0,0,7,13,5,50,15,7,0,0,3,"7","25",18,"5",1,wide,moderate,"immature forest, shrub or old field","immature forest, shrub or old field",stream flowing,>3.0,moderate,no,WWH,East Branch Rocky River,North Olmsted,"36","1",Cuyahoga,Olmsted Township,yes,2007/07/19,0.39,no,,no,16.7,,,,yes,no,,0,no,no,,"0",yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,rare,very abundant,rare,,abundant,rare,common,,,very abundant,very abundant,very abundant,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,"1","1","43","19",Class II/Warm Water
"13",13-100-0.57II,Rocky River,"30","13","100",0.0375,200,41.39778,-81.88691,0.57,2009/07/21,"CW, NM",,none/natural channel,"23",23,"15",gravel,sand,1,3,0,19,30,26,5,10,0,4,2,0,"8","25",22.5,"20",2.71,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate to severe,no,WWH,East Branch Rocky River,North Olmsted,"36","1",Cuyahoga,Olmsted Township,yes,2009/07/18,0.15,no,15,no,17.3,7.33,8.05,0.979,yes,no,visual and dip net,10,no,yes,visual and dip net,"10",yes,"35",,,,,,,,,"18","4","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,abundant,rare,,,common,abundant,rare,common,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,,,,,,,,,,,,,,"1","1","68","14",Class II/Warm Water
"14",13-100-0.57II,Rocky River,"30","13","100",0.0375,200,41.39776,-81.88674,0.57,2018/05/31,"CW, OL, VR, MW",,none/natural channel,"22",18,"15",gravel,sand,0,3,0,15,40,25,2,2,0,13,0,0,"7","25",15.2,"20",2.5,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate to severe,no,WWH,East Branch Rocky River,North Olmsted,"36","1",Cuyahoga,Olmsted Township,yes,2018/05/30,0.01,no,18,no,,,,,yes,no,visual and dip net,10,no,yes,visual and dip net,"10",yes,"25",,,,,,,,,"50",,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,,rare,,rare,common,,,rare,common,,,,,common,,,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","67","13",Class II/Warm Water
"15",13-100-0.30I,Rocky River,"21","13","100",,200,41.404,-81.8859,0.3,2007/07/20,DG,,recovered,"21",7,"15",sand,gravel,0,4,0,3,28,40,10,15,0,0,0,0,"6","0",0,"15",1.3,wide,wide,mature forest or wetland,mature forest or wetland,ephemeral,>3.0,moderate to severe,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Olmsted Township,yes,2007/07/19,0.39,no,15,no,,,,,yes,no,,0,no,yes,visual,,no,"0",,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36","0",Class I/Ephemeral
"16",13-100-1.81II,Rocky River,"24","13","100",0.12,200,41.3921,-81.881,1.81,2007/09/13,DG,,none/natural channel,"40",58,"32",boulder,bedrock,0,22,30,6,10,10,10,10,0,2,0,0,"8","15",9,"20",1.7,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,>3.0,moderate to severe,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Olmsted Township,yes,2007/09/11,0.15,no,15,no,14.6,17.9,7.7,1.752,no,no,visual,5,yes,no,visual and dip net,"15",yes,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,very abundant,rare,very abundant,,,rare,rare,,,common,abundant,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,rare,,,,,,,,,,,"2","2","75","16",Class II/Warm Water
"17",13-100-1.81II,Rocky River,"24","13","100",0.12,200,41.3926,-81.88074,1.81,2013/06/20,"CW, JK, KH",,none/natural channel,"22",11,"15",gravel,sand,0,1,0,10,40,25,2,4,0,18,0,0,"7","30",27,"15",1.03,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,>3.0,moderate,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Olmsted Township,yes,2013/06/16,0.38,no,14,no,15.7,3.13,7.39,1.231,yes,no,visual and dip net,5,yes,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,abundant,very abundant,,,,,,,,common,abundant,rare,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,"1","1","67","12",Class II/Warm Water
"18",13-100-1.81II,Rocky River,"24","13","100",0.12,200,41.39241,-81.88066,1.81,2018/06/06,"CW, OL, MW",,none/natural channel,"22",5,"15",gravel,sand,0,1,0,4,45,25,2,3,0,20,0,0,"7","25",15,"20",1.97,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"3",moderate,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Olmsted Township,yes,2018/06/03,0.71,no,18,no,,,,,no,yes,visual and dip net,5,no,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,rare,abundant,abundant,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67","4",Class I/Ephemeral
"19",13-100-1.90I,Rocky River,"23","13","100",,200,41.39172,-81.87928,1.9,2018/06/06,"CW, OL, MW",,none/natural channel,"4",0,"0",clay or hardpan,clay or hardpan,0,0,0,0,0,10,7,3,0,80,0,0,"4","5",2.5,"15",1.24,wide,wide,mature forest or wetland,mature forest or wetland,intermittent,"2",flat to moderate,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Olmsted Township,yes,2018/06/03,0.71,no,25,no,,,,,yes,no,visual and dip net,5,no,no,visual and dip net,"5",yes,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","2",Class I/Ephemeral
"20",13-001-11.20I,Rocky River,"32","13","1",0.21,200,41.41324,-81.87898,11.2,2018/05/30,"CW, OL, VR, MW",,none/natural channel,"23",3,"15",gravel,sand,0,1,0,2,50,29,1,5,2,10,0,0,"8","20",48.3,"30",5.1,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1.5",moderate,no,WWH,Main Branch Rocky River,North Olmsted,"36","1",Cuyahoga,North Olmsted,yes,2018/05/26,0.07,no,35,no,,,,,yes,yes,visual and dip net,10,yes,no,visual and dip net,"5",yes,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,abundant,common,common,,common,,,,,,rare,,,,,,,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,"1","73","10",Class II/Warm Water
"21",13-001-11.20I,Rocky River,"32","13","1",0.21,200,41.41318,-81.87893,11.2,2010/08/03,"CW, NM, AR, BB, JS",,none/natural channel,"22",6,"5",gravel,sand,0,2,0,4,45,34,0,6,0,4,0,5,"7","20",54.9,"30",5.3,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1",flat to moderate,no,WWH,Main Branch Rocky River,North Olmsted,"36","1",Cuyahoga,North Olmsted,yes,2010/07/28,0.6,no,30,no,20.4,6.6,7.57,3.54,yes,no,visual and dip net,5,yes,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,common,,abundant,,rare,,rare,,common,abundant,common,rare,,,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,common,,,,,,"2","2","72","19",Class II/Warm Water
"22",13-001-11.20I,Rocky River,"32","13","1",0.21,200,41.4131,-81.8788,11.2,2013/05/21,"CW, JK",,none/natural channel,"22",18,"15",gravel,sand,0,2,0,16,40,29,1,4,0,8,0,0,"7","20",50,"30",5.33,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"1",moderate,no,WWH,Main Branch Rocky River,North Olmsted,"36","1",Cuyahoga,North Olmsted,yes,2013/05/15,0.02,no,34,no,17.3,8.86,8,3.39,yes,no,visual and dip net,10,yes,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abundant,,abundant,,,,,,,,rare,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72","4",Class I/Ephemeral
"23",13-100-1.90I,Rocky River,"23","13","100",,200,41.39083,-81.87858,1.9,2007/09/13,DG,,none/natural channel,"31",55,"25",gravel,bedrock,0,5,35,15,20,10,0,15,0,0,0,0,"6","15",6,"15",1.15,wide,moderate,mature forest or wetland,"residential, park, new field",interstitial,"2.5",severe,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Olmsted Township,yes,2007/09/11,0.15,no,30,no,14,,7.44,1.146,no,no,,0,no,yes,visual,,yes,"30",,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very abundant,,,,,rare,,,,,abundant,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61","4",Class I/Ephemeral
"24",13-100-2.14II,Rocky River,"25","13","100",,200,41.38883,-81.87624,2.14,2007/09/17,DG,,none/natural channel,"27",55,"19",bedrock,leaf pack/woody debris,7,8,34,6,10,10,2,19,0,4,0,0,"8","15",10,"15",1.3,wide,wide,mature forest or wetland,mature forest or wetland,interstitial,"0.5",severe,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Berea,yes,2007/09/11,0.15,no,15,no,13.5,14.3,7.46,0.02,yes,no,visual,5,no,yes,visual and dip net,"20",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,,,rare,,,,,,,,rare,very abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57","4",Class I/Ephemeral
"25",13-100-2.14II,Rocky River,"25","13","100",,200,41.38884,-81.87577,2.14,2018/06/06,"CW, OL, MW",,none/natural channel,"10",1,"3",clay or hardpan,leaf pack/woody debris,0,0,1,0,10,10,5,15,0,50,9,0,"7","25",15,"20",1.7,wide,wide,mature forest or wetland,mature forest or wetland,stream flowing,"2.5",moderate,no,WWH,East Branch Rocky River,North Olmsted,"36","0",Cuyahoga,Berea,yes,2018/06/03,0.71,no,20,no,,,,,yes,no,visual and dip net,10,no,no,visual and dip net,"10",yes,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,very abundant,,rare,,,rare,rare,,,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rare,,,,,,,,,,,,,,,"1","1","55","11",Class II/Warm Water
